date,Open,low,high,Close,hr hilo,time
2019:11:29-09:00:00,5793.8,5784,5802.8,5794.6,0.16%,21
2019:11:29-10:00:00,5793.9,5787.6,5808.9,5803.8,0.15%,0
2019:11:29-11:00:00,5803.9,5795.6,5806.6,5801.6,0.13%,1
2019:11:29-12:00:00,5800.9,5794.9,5804.9,5801.6,0.09%,2
2019:11:29-13:00:00,5800.9,5789.9,5806.6,5802.9,0.09%,3
2019:11:29-14:00:00,5803.6,5636,5803.6,5660.6,0.04%,4
2019:11:29-15:00:00,5660.3,5596.6,5660.8,5605,0.05%,5
2019:11:29-16:00:00,5604,5556,5604.6,5559,0.07%,6
2019:11:29-17:00:00,5558.8,5523.6,5564.6,5557.8,0.12%,7
2019:11:29-18:00:00,5558.1,5500.4,5558.4,5539.3,0.27%,8
2019:12:01-23:00:00,5546,5543.7,5579.5,5578.5,0.16%,9
2019:12:02-00:00:00,5578.8,5578.8,5612.6,5612.6,0.14%,10
2019:12:02-01:00:00,5612.4,5590.4,5620,5598.6,0.13%,11
2019:12:02-02:00:00,5598.4,5597.8,5611.9,5603.4,0.10%,12
2019:12:02-03:00:00,5603.6,5601.4,5606.4,5604.8,0.13%,13
2019:12:02-04:00:00,5604.6,5599.4,5606.4,5603.1,0.29%,14
2019:12:02-05:00:00,5602.9,5602.9,5611.4,5609.4,0.19%,15
2019:12:02-06:00:00,5609.9,5594.6,5611.4,5595.4,0.16%,16
2019:12:02-07:00:00,5594.8,5585.4,5597.6,5593.6,0.19%,17
2019:12:02-08:00:00,5593.3,5584.3,5615.8,5612.8,0.15%,18
2019:12:02-09:00:00,5613.3,5610.3,5664.7,5652.7,0.12%,19
2019:12:02-10:00:00,5652.5,5643.2,5657.2,5652.7,0.15%,20
2019:12:02-11:00:00,5653.2,5629.7,5658.7,5650.5,0.07%,21
2019:12:02-12:00:00,5650.7,5631.7,5662.5,5632.7,0.04%,22
2019:12:02-13:00:00,5633.5,5609.8,5642.8,5641.8,0.09%,23
2019:12:02-14:00:00,5641.5,5610.7,5647.8,5636,0.04%,0
2019:12:02-15:00:00,5636.2,5577,5642.5,5588,0.27%,1
2019:12:02-16:00:00,5588.7,5559,5627.7,5605.5,0.11%,2
2019:12:02-17:00:00,5605.2,5583.7,5612.2,5586,0.07%,3
2019:12:02-18:00:00,5586.2,5574.7,5597.7,5589.2,0.06%,4
2019:12:02-19:00:00,5589,5580.7,5602.2,5598.7,0.04%,5
2019:12:02-20:00:00,5599.2,5586.5,5600.7,5588.5,0.05%,6
2019:12:02-21:00:00,5588.7,5587.9,5595.7,5594.5,0.09%,7
2019:12:03-01:00:00,5604.4,5601.4,5615.4,5609.4,0.21%,8
2019:12:03-02:00:00,5609.2,5605.2,5615.7,5612.4,0.10%,9
2019:12:03-03:00:00,5612.2,5609.2,5615.7,5609.4,0.14%,10
2019:12:03-04:00:00,5609.2,5608.2,5613.4,5610.4,0.13%,11
2019:12:03-05:00:00,5610.2,5609.1,5614.6,5613.6,0.19%,12
2019:12:03-06:00:00,5614.4,5610.2,5619.6,5617.1,0.18%,13
2019:12:03-07:00:00,5616.6,5615.1,5623.6,5617.6,0.30%,14
2019:12:03-08:00:00,5617.4,5607.6,5631.1,5625.4,0.29%,15
2019:12:03-09:00:00,5625.1,5625.1,5639.1,5633.1,0.15%,16
2019:12:03-10:00:00,5632.9,5594.1,5638.4,5605.1,0.29%,17
2019:12:03-11:00:00,5604.9,5587.6,5609.6,5592.1,0.10%,18
2019:12:03-12:00:00,5591.6,5560.1,5600.6,5562.6,0.41%,19
2019:12:03-13:00:00,5562.1,5532.1,5580.1,5575.1,0.35%,20
2019:12:03-14:00:00,5575.6,5544.6,5599.1,5570.8,0.20%,21
2019:12:03-15:00:00,5570.6,5544.1,5584.1,5572.1,0.05%,22
2019:12:03-16:00:00,5571.8,5569.1,5623.1,5599.1,0.11%,23
2019:12:03-17:00:00,5598.6,5595.1,5624.1,5623.1,0.11%,0
2019:12:03-18:00:00,5623.3,5615.1,5634.1,5629.5,0.28%,1
2019:12:03-19:00:00,5629.3,5596,5674.3,5617,0.16%,2
2019:12:03-20:00:00,5617.8,5613,5626.5,5624.7,0.14%,3
2019:12:03-21:00:00,5624.5,5614.5,5637.5,5625.2,0.08%,4
2019:12:04-01:00:00,5631.4,5624,5637.9,5629.7,0.08%,5
2019:12:04-02:00:00,5629.9,5626.9,5637.9,5632.9,0.10%,6
2019:12:04-03:00:00,5632.5,5630.7,5653.9,5647.2,0.10%,7
2019:12:04-04:00:00,5647.4,5642.4,5647.4,5646.4,0.16%,8
2019:12:04-05:00:00,5646.2,5636.4,5648.4,5641.4,0.16%,9
2019:12:04-06:00:00,5641.7,5638.4,5650.9,5645.2,0.07%,10
2019:12:04-07:00:00,5644.9,5622.4,5646.4,5626.4,0.45%,11
2019:12:04-08:00:00,5626.9,5623.4,5646.4,5645.1,0.57%,12
2019:12:04-09:00:00,5645.4,5638.1,5691.4,5688.9,0.22%,13
2019:12:04-10:00:00,5689.1,5675.6,5703.8,5681.8,0.26%,14
2019:12:04-11:00:00,5681.6,5675.6,5703.4,5701.4,0.21%,15
2019:12:04-12:00:00,5701.1,5691.8,5711.6,5711.4,0.24%,16
2019:12:04-13:00:00,5710.8,5685.4,5717.1,5711.1,0.18%,17
2019:12:04-14:00:00,5712.3,5707.8,5803,5801.3,0.16%,18
2019:12:04-15:00:00,5801.7,5797,5840.2,5834.2,0.22%,19
2019:12:04-16:00:00,5834.7,5778.2,5846,5831.2,0.32%,20
2019:12:04-17:00:00,5831,5826.2,5858.7,5843.5,0.10%,21
2019:12:04-18:00:00,5843.8,5827.8,5852.7,5843.7,0.06%,22
2019:12:04-19:00:00,5844.2,5830.2,5852.7,5846.2,0.12%,23
2019:12:04-20:00:00,5846.9,5825.6,5853.4,5831.6,0.12%,0
2019:12:04-21:00:00,5831.2,5823.6,5831.6,5828.6,0.07%,1
2019:12:05-01:00:00,5815.8,5813.6,5830.6,5816.8,0.08%,2
2019:12:05-02:00:00,5816.6,5810.5,5816.8,5811.5,0.08%,3
2019:12:05-03:00:00,5810.8,5810.8,5816.8,5813.5,0.06%,4
2019:12:05-04:00:00,5812.8,5811.5,5816.8,5816.1,0.04%,5
2019:12:05-05:00:00,5815.8,5809.5,5817.1,5810.1,0.07%,6
2019:12:05-06:00:00,5809.8,5804.5,5819.5,5817.5,0.11%,7
2019:12:05-07:00:00,5816.8,5815.5,5828.8,5825.5,0.19%,8
2019:12:05-08:00:00,5824.8,5811.8,5844.5,5815,0.18%,9
2019:12:05-09:00:00,5814.6,5806.6,5845,5841,0.07%,10
